name,duration,release_date,album_name,explicit,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,primary_emotion,emotion_confidence,happy_score,sad_score,energetic_score,relaxed_score,melancholic_score,triumphant_score,ethereal_score
Paradise - Live,411.853,2018-12-07,Love in Tokyo,False,12,0.00537,0.183,0.883,0.000957,0.756,-6.382,0.0497,138.909,4,0.107,energetic,0.71523,0.3948575,0.6051424999999999,0.71523,0.18262750000000003,0.6849425,0.527515,0.116385
Everglow - Live,265.0,2018-12-07,Love in Tokyo,False,11,0.738,0.409,0.376,4.88e-06,0.84,-10.806,0.0325,78.552,4,0.287,sad,0.69954,0.30046,0.69954,0.27854,0.62302,0.54954,0.29612,0.5988
Midnight / Charlie Brown - Live,447.933,2018-12-07,Love in Tokyo,False,10,0.0136,0.181,0.75,0.0268,0.173,-9.07,0.054,134.272,4,0.0709,sad,0.6705666666666665,0.32943333333333336,0.6705666666666665,0.6296633333333334,0.25350000000000006,0.6705666666666665,0.4521466666666667,0.16762
Hymn for the Weekend - Live,222.146,2018-12-07,Love in Tokyo,False,12,0.00451,0.416,0.769,0.0192,0.91,-6.703,0.0409,90.034,4,0.413,energetic,0.5259133333333333,0.5035283333333332,0.4964716666666666,0.5259133333333333,0.423015,0.5078716666666666,0.5228566666666667,0.08895499999999998
Fix You - Live,352.2,2018-12-07,Love in Tokyo,False,14,0.0133,0.261,0.54,0.392,0.461,-9.173,0.0344,140.11,4,0.0817,sad,0.7222216666666667,0.27777833333333335,0.7222216666666667,0.5452033333333335,0.34606499999999996,0.5962216666666666,0.38219666666666674,0.22830999999999999
Viva La Vida - Live,252.346,2018-12-07,Love in Tokyo,False,16,0.00199,0.451,0.905,0.0411,0.196,-7.154,0.0664,137.953,4,0.14,energetic,0.7263433333333333,0.4204608333333334,0.5795391666666666,0.7263433333333333,0.18061749999999996,0.6725391666666666,0.5479216666666668,0.10149499999999999
Adventure of a Lifetime - Live,291.466,2018-12-07,Love in Tokyo,False,13,0.000602,0.506,0.935,0.000173,0.938,-6.455,0.0627,112.031,4,0.341,energetic,0.6750366666666667,0.5284591666666667,0.4715408333333333,0.6750366666666667,0.2706225,0.5825408333333334,0.5971183333333334,0.05160099999999998
Us Against the World - Live,381.613,2018-12-07,Love in Tokyo,False,10,0.4,0.233,0.52,0.0116,0.955,-9.919,0.0324,111.451,3,0.0866,sad,0.7491641666666666,0.25083583333333337,0.7491641666666666,0.44016333333333335,0.4286925,0.6111641666666666,0.3283916666666667,0.42667999999999995
Something Just like That - Live,244.693,2018-12-07,Love in Tokyo,False,12,0.000804,0.427,0.797,0.00594,0.424,-7.685,0.0442,102.943,4,0.161,melancholic,0.6567141666666667,0.37148583333333335,0.6285141666666666,0.5577433333333334,0.3263425,0.6567141666666667,0.4547716666666667,0.129102
A Sky Full of Stars - Live,293.653,2018-12-07,Love in Tokyo,False,15,0.0102,0.375,0.747,1.39e-05,0.757,-6.261,0.0378,125.009,4,0.241,energetic,0.6142966666666667,0.42287416666666666,0.5771258333333333,0.6142966666666667,0.3121775,0.5753258333333333,0.5035483333333334,0.1328
Up&Up - Live,570.12,2018-12-07,Love in Tokyo,False,10,0.00482,0.0973,0.779,0.0115,0.195,-6.74,0.0757,72.528,4,0.117,melancholic,0.7030599999999999,0.31434,0.6856599999999999,0.44296,0.40257999999999994,0.7030599999999999,0.37928000000000006,0.14531
A Head Full of Dreams,223.773,2015-12-04,A Head Full of Dreams,False,70,0.0021,0.449,0.92,0.0167,0.334,-4.982,0.0737,122.984,4,0.0772,melancholic,0.7271933333333332,0.37480666666666673,0.6251933333333333,0.6776666666666666,0.19798000000000002,0.7271933333333332,0.5038533333333334,0.10961
Birds,229.093,2015-12-04,A Head Full of Dreams,False,66,0.000315,0.559,0.841,0.437,0.0816,-5.584,0.0332,105.009,4,0.147,melancholic,0.6765924999999998,0.37800749999999994,0.6219924999999998,0.58523,0.29637749999999996,0.6765924999999998,0.47021500000000005,0.1184575
Hymn for the Weekend,258.266,2015-12-04,A Head Full of Dreams,False,86,0.211,0.491,0.693,6.92e-06,0.325,-6.487,0.0377,90.027,4,0.412,sad,0.5198775000000001,0.48012249999999995,0.5198775000000001,0.48779,0.4608325,0.4856775000000001,0.492045,0.2152
Everglow,282.693,2015-12-04,A Head Full of Dreams,False,71,0.456,0.534,0.445,0.0684,0.112,-9.155,0.0292,146.107,4,0.136,sad,0.7131441666666666,0.28685583333333337,0.7131441666666666,0.5231233333333334,0.38943249999999996,0.5631441666666666,0.3759116666666667,0.46729999999999994
Adventure of a Lifetime,263.786,2015-12-04,A Head Full of Dreams,False,80,0.00205,0.638,0.924,0.000175,0.149,-3.887,0.036,111.995,4,0.53,energetic,0.6883166666666668,0.6385291666666666,0.3614708333333333,0.6883166666666668,0.3140125,0.46587083333333335,0.6682583333333334,0.029824999999999994
